year,code,head,page,dept,dept_name,raw_line
2020-21-EN,64401,ROADS AND STREETS RESURFACING (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,7614.45 9937.04 11500.00 64401 ROADS AND STREETS RESURF ACING 15000.00 15000.00 15000.00 7500.00
2020-21-EN,64402,OTHER BRIDGES (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,9159.12 15528.82 12093.56 64402 OTHER BRIDGES 22600.33 22600.33 22600.33 10000.00
2020-21-EN,64406,ROADS AND STREETS - GENERAL (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,1601.88 3665.70 2548.44 64406 ROADS AND STREETS- GENERA L 4030.00 4030.00 4030.00 4000.00
2020-21-EN,64407,FOOTPATH AND PAVEMENTS (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,197.70 497.67 500.00 64407 FOOTPATH AND PAVEMENTS 400.00 400.00 400.00 400.00
2020-21-EN,64410,NALA - GENERAL (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,2268.72 940.10 1707.68 64410 NALA - GENERAL 1525.58 1525.58 1525.58 1500.00
2020-21-EN,64414,TRAFFIC CONTROL BLOCK (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,359.69 371.77 200.00 64414 TRAFFIC CONTROL BLOCK 200.00 200.00 200.00 200.00
2020-21-EN,64453,R.C.C. ROAD (capex),277,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,721.20 337.56 3574.55 64453 R.C.C. ROAD 4059.10 4059.10 4059.10 4000.00
2020-21-EN,DEPT968,DEPT TOTAL,278,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT 115000. 00 1150,968 WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT 115000. 00 115000.00 115000.00 50145.42 66657.67 75000.00 85000.00
2020-21-EN,DEPT969,DEPT TOTAL,278,969,AMRUT 19935.00 19935.00 19935.00 5524.71 14471.17 25000.00 2,969 AMRUT 19935.00 19935.00 19935.00 5524.71 14471.17 25000.00 22597.00
2020-21-EN,86244,40% PUBLIC CONTRIB FOR ROADS (cap inc),280,381,"ROADS,STREETS, PAVEMENTS",0.00 2.57 0.00 86244 40% PUBLIC CONTRIBUTION FOR ROADS 0 .00 0.00 0.00 0.00
2020-21-EN,86269,70:20:10 SCHEME ROAD CONTRIB (cap inc),280,381,"ROADS,STREETS, PAVEMENTS",521.91 761.59 300.00 86269 INCOME UNDER 70:20:10 GRANT SCHEME CONTRI. ROAD 1000.00 1000.00 1000.00 650.00
2020-21-EN,86275,ROAD AT 80:20 SCHEME (cap inc),280,381,"ROADS,STREETS, PAVEMENTS",3.86 0.22 1.00 86275 ROAD AT 80:20 SCHEME 0.00 0.00 0.00 0.00
2020-21-EN,DEPT381,DEPT TOTAL,280,381,"ROADS,STREETS, PAVEMENTS 1000.00 1000.00 1000.00 525.77 764.","381 ROADS,STREETS, PAVEMENTS 1000.00 1000.00 1000.00 525.77 764.41 650.00 301.00"
2020-21-EN,DEPT967,DEPT TOTAL,281,967,JNNURM PROJECT 10.00 10.00 10.00 -911.90 543.72 100.00 55.00,967 JNNURM PROJECT 10.00 10.00 10.00 -911.90 543.72 100.00 55.00
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),165,400,MLD and is supplied in the city. Work of new pumping station,b) No. of old patients 26708 26829 23306
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),208,111,FINANCE DEPARTMENT,0.98 5.05 5.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),209,153,CENTRAL,7.59 0.68 5.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),211,211,ESTATE AND CITY,2.76 0.00 1.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),213,302,LIGHTING DEPARTMENT,4.15 263.43 500.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),213,304,COMMUNICATION DEPTT.,0.00 0.00 2.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),214,352,GARBAGE DISPOSAL,276.91 237.70 250.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),214,371,ENGG.DEPT. GENERAL,689.31 510.31 1000.00 23306 PENALTY RECOVERED FROM
2022-23-EN,23311,COST OF WORK DONE ON CAPITAL A/C LSR (rev inc),214,371,ENGG.DEPT. GENERAL,2117.91 2345.82 5000.00 23311 COST OF WORK DONE ON CAPITAL A/C
2022-23-EN,DEPT371,DEPT TOTAL,214,371,ENGG.DEPT. GENERAL 3571.96 4199.11 3584.63 4251.96 7386.96 3,371 ENGG.DEPT. GENERAL 3571.96 4199.11 3584.63 4251.96 7386.96 3571.96 3571.96
2022-23-EN,10301,"VEHICLE TAX (rev inc, dept 381)",214,381,"ROADS,STREETS, PAVEMENTS",8422.93 8832.79 10000.00 10301 VEHICLE TAX 10500.00 9925.00 10400.00 10400.00
2022-23-EN,13423,ROAD CUT RESTORATION CHARGES (rev inc),214,381,"ROADS,STREETS, PAVEMENTS",358.67 709.02 150.00 13423 ROAD CUT RESTORATION CHARGES 150.00 150.00 150.00 150.00
2022-23-EN,DEPT381,DEPT TOTAL,214,381,"ROADS,STREETS, 10750.50 8786.06 9879.23 10086.00 10250.50 10","381 ROADS,STREETS, 10750.50 8786.06 9879.23 10086.00 10250.50 10650.50 10650.50"
